"id","name","image","modified","updated_by_id","listened_count"
"881","Lil Duke","images/artists/image_PZYKqGU.jpg","25/12/2023 11:47:51.-1f+00","23","0"
"882","Lil Yachty","images/artists/image_F04pFPb.jpg","25/12/2023 12:01:43.-1f+00","25","0"
"883","Pi’erre Bourne","images/artists/image_puZpb91.jpg","25/12/2023 12:05:18.-1f+00","25","0"
"884","Lil Wop","images/artists/image_F9fnlzG.jpg","25/12/2023 12:28:52.-1f+00","25","0"
"885","Mariah the Scientist","images/artists/image_qW4WCvu.jpg","25/12/2023 12:36:29.-1f+00","25","0"
"886","ВИА ""Волга-Волга""","images/artists/image_oFrSenl.jpg","26/12/2023 07:50:24.-1f+00","1","0"
"889","Elley Duhé","images/artists/500x500.jpg","12/1/2024 09:21:30.-1f+00","1","0"
"893","Buju Banton","images/artists/59888213_2885297914820214_375437342044848128_n-500x500.jpg","24/1/2024 12:47:51.-1f+00","1","0"
"890","Kaleo","images/artists/Kaleo.png","16/1/2024 05:33:16.-1f+00","1","0"
"891","Kadebostany","images/artists/ab6761610000e5ebeecc6cd73ed5ccb40aad77e6.jpg","18/1/2024 13:11:24.-1f+00","1","0"
"892","Victoria Monét","images/artists/ab677762000056b82d9e0286123d08c00e494126.jpg","24/1/2024 12:39:58.-1f+00","1","0"
